Lap,ALB_Time
1,108.10700000000001
2,108.10700000000001
3,106.74476999999997
4,116.68442000000006
5,116.15606000000011
6,115.54339000000003
7,114.72768000000005
8,114.74949000000002
9,114.78168000000004
10,114.75966000000004
11,114.71063000000005
12,114.38688000000008
13,111.30786000000002
14,109.47835000000005
15,109.34487000000007
